Ds benchmark...
DsName       V_Num       insert   insert/per       read     read/per     update     update/per        for      for/per       delete   delete/per
PdDs             8       3.09us     385.75ns     1.26us     157.75ns     1.39us       174.13ns     2.03us     254.13ns       3.32us     414.63ns
PdDs             8       2.56us     320.63ns     1.03us     128.88ns     1.29us       161.63ns     4.55us     568.50ns       4.04us     504.75ns
PdDs             8       3.00us     374.50ns     1.24us     155.25ns     1.42us       177.88ns     1.97us     246.75ns      15.08us    1884.75ns
PdDs             8       3.00us     374.50ns     1.21us     151.50ns     1.41us       176.63ns     1.66us     207.88ns       3.29us     410.75ns
PdDs             8       2.56us     320.50ns     1.72us     215.50ns     1.25us       156.50ns     1.77us     221.63ns       2.90us     362.00ns
PdDs             8       2.94us     367.00ns     1.24us     155.25ns     1.35us       169.13ns     1.81us     226.63ns       3.18us     397.00ns
PdDs             8       2.84us     354.50ns     1.14us     142.75ns     1.33us       166.50ns     1.66us     207.88ns       3.12us     389.50ns
PdDs            16       6.15us     384.44ns     1.98us     124.00ns     9.24us       577.31ns     4.30us     268.63ns       4.72us     294.94ns
PdDs            16       5.59us     349.44ns     2.12us     132.75ns     8.29us       518.44ns     5.99us     374.44ns       5.42us     338.75ns
PdDs            16       5.65us     353.19ns     1.88us     117.69ns     7.97us       498.44ns     2.86us     178.44ns       3.85us     240.50ns
PdDs            16       5.55us     346.88ns     1.85us     115.81ns     7.57us       473.38ns     2.94us     183.50ns       3.94us     246.06ns
PdDs            16       5.77us     360.69ns     1.82us     113.94ns     7.99us       499.06ns     2.98us     185.94ns       3.61us     225.44ns
PdDs            16       5.94us     371.31ns     1.77us     110.81ns     7.84us       490.31ns     3.35us     209.13ns       3.69us     230.44ns
PdDs            16       5.29us     330.63ns     1.83us     114.63ns     7.48us       467.69ns     3.06us     191.00ns       3.28us     204.75ns
PdDs            16       5.31us     331.88ns     2.03us     127.13ns     7.32us       457.69ns     2.84us     177.25ns       3.49us     217.88ns
PdDs            16       5.01us     313.13ns     1.72us     107.69ns     6.23us       389.50ns     2.30us     144.00ns       2.54us     159.06ns
PdDs            16       5.59us     349.38ns     1.96us     122.75ns     6.98us       436.44ns     3.16us     197.25ns       3.31us     206.63ns
PdDs            16       4.98us     311.19ns     1.86us     116.50ns     7.21us       450.81ns     3.05us     190.38ns       3.70us     231.06ns
PdDs            16       4.96us     309.94ns     1.88us     117.75ns     6.73us       420.75ns     3.04us     189.75ns       3.34us     208.50ns
PdDs            16       4.81us     300.56ns     1.85us     115.81ns     6.42us       401.38ns     2.88us     179.69ns       3.44us     214.81ns
PdDs            16       4.68us     292.44ns     1.86us     116.44ns     7.16us       447.75ns     3.19us     199.13ns       4.10us     256.06ns
PdDs            16       5.65us     353.13ns     1.75us     109.56ns     7.41us       463.38ns     2.38us     148.44ns       2.69us     167.81ns
PdDs            16       8.51us     531.63ns     2.12us     132.75ns    10.62us       663.75ns     4.52us     282.38ns       4.64us     289.94ns
PdDs            16       5.25us     328.13ns     1.91us     119.56ns     6.36us       397.63ns     2.71us     169.69ns       3.06us     191.00ns
PdDs            16       5.16us     322.50ns     1.65us     103.31ns     6.42us       401.38ns     2.17us     135.88ns       2.46us     153.44ns
PdDs            16       5.76us     360.00ns     1.96us     122.75ns     8.05us       503.44ns     3.26us     203.50ns       3.76us     234.81ns
PdDs            16       5.34us     333.75ns     1.67us     104.56ns     6.88us       430.19ns     3.02us     188.44ns       3.63us     226.69ns
PdDs            16       5.24us     327.50ns     1.96us     122.75ns     6.89us       430.81ns     3.08us     192.81ns       3.48us     217.31ns
PdDs            16       4.84us     302.44ns     1.82us     113.94ns     6.37us       398.25ns     3.03us     189.13ns       3.19us     199.13ns
PdDs            32      17.29us     540.38ns     4.13us     129.00ns    15.10us       471.81ns     5.53us     172.81ns       4.12us     128.69ns
PdDs            32      16.12us     503.75ns     3.48us     108.66ns    11.57us       361.59ns     4.33us     135.28ns       3.75us     117.09ns
PdDs            32      13.71us     428.28ns     3.41us     106.47ns     9.91us       309.63ns     4.04us     126.19ns       3.54us     110.50ns
PdDs            32      13.02us     407.00ns     2.94us      91.75ns     9.80us       306.19ns     4.05us     126.47ns       3.51us     109.59ns
PdDs            32      18.84us     588.59ns     3.56us     111.13ns    16.36us       511.28ns     4.21us     131.50ns       3.67us     114.59ns
PdDs            32      13.98us     436.75ns     2.76us      86.13ns     9.23us       288.34ns     3.96us     123.66ns       3.42us     106.78ns
PdDs            32      13.23us     413.56ns     2.90us      90.50ns     9.07us       283.34ns     3.92us     122.41ns       3.37us     105.19ns
PdDs            32      12.82us     400.75ns     2.63us      82.03ns     8.40us       262.38ns     3.81us     118.97ns       3.29us     102.69ns
PdDs            32       9.98us     311.84ns     2.71us      84.53ns     8.49us       265.47ns     3.60us     112.41ns       3.21us     100.19ns
PdDs            32      12.33us     385.41ns     2.75us      85.78ns     8.34us       260.50ns     4.46us     139.31ns       7.33us     229.19ns
PdDs            32      11.46us     358.19ns     2.63us      82.34ns     8.27us       258.28ns     3.91us     122.09ns       3.20us      99.88ns
PdDs            32      12.97us     405.44ns     2.77us      86.72ns     8.12us       253.59ns     3.89us     121.47ns       3.36us     104.91ns
PdDs            32      19.23us     600.81ns     3.81us     118.97ns    11.49us       359.13ns     5.47us     170.94ns       4.56us     142.47ns
PdDs            32      13.65us     426.72ns     3.53us     110.22ns    10.91us       340.94ns     5.44us     170.00ns       4.48us     139.97ns
PdDs            32      12.67us     396.06ns     3.44us     107.41ns    10.79us       337.19ns     5.16us     161.22ns       4.27us     133.38ns
PdDs            32      12.89us     402.94ns     3.49us     108.94ns    10.92us       341.28ns     5.28us     165.00ns       4.41us     137.75ns
PdDs            32      12.57us     392.91ns     3.58us     111.78ns    10.87us       339.69ns     5.35us     167.19ns       4.52us     141.22ns
PdDs            32      12.64us     395.13ns     3.45us     107.69ns    11.11us       347.22ns     5.26us     164.38ns       4.39us     137.13ns
PdDs            32      12.82us     400.75ns     2.75us      85.78ns     8.47us       264.56ns     3.70us     115.53ns       3.35us     104.56ns
PdDs            32      12.98us     405.75ns     2.88us      89.84ns     8.58us       268.00ns     3.78us     118.03ns       3.24us     101.13ns
PdDs            32      12.41us     387.94ns     2.65us      82.66ns     9.73us       304.00ns     4.49us     140.25ns       4.12us     128.69ns
PdDs            32      30.57us     955.22ns     3.41us     106.44ns    11.16us       348.78ns     4.79us     149.66ns       4.45us     139.00ns
PdDs            64      41.18us     643.39ns     7.00us     109.42ns    14.93us       233.23ns    19.28us     301.19ns       9.35us     146.06ns
PdDs            64      37.56us     586.88ns     6.59us     103.00ns    13.85us       216.34ns    17.48us     273.17ns       8.61us     134.47ns
PdDs            64      34.03us     531.77ns     6.46us     100.97ns    13.04us       203.67ns    16.89us     263.92ns       8.92us     139.33ns
PdDs            64      34.66us     541.48ns     7.76us     121.31ns    15.40us       240.61ns    17.23us     269.25ns       8.59us     134.16ns
PdDs            64      36.62us     572.16ns     6.45us     100.81ns    15.20us       237.48ns    19.83us     309.80ns       8.96us     139.94ns
PdDs            64      28.51us     445.52ns    16.79us     262.36ns    13.99us       218.55ns    18.82us     293.98ns       9.32us     145.58ns
PdDs            64      35.41us     553.23ns     6.85us     107.06ns    14.43us       225.42ns    17.83us     278.66ns       9.38us     146.52ns
PdDs            64      33.27us     519.88ns     6.64us     103.80ns    14.16us       221.19ns    17.57us     274.58ns       9.23us     144.17ns
PdDs            64      30.42us     475.27ns     5.20us      81.23ns     9.69us       151.39ns    12.10us     189.09ns       6.41us     100.19ns
PdDs            64      30.62us     478.39ns     5.06us      79.05ns     9.55us       149.19ns    11.94us     186.59ns       6.29us      98.31ns
PdDs            64      27.75us     433.63ns     5.16us      80.61ns     9.58us       149.66ns    11.96us     186.92ns       6.30us      98.45ns
PdDs            64      28.85us     450.84ns     5.10us      79.69ns     9.43us       147.30ns    11.96us     186.92ns       6.31us      98.63ns
PdDs            64      49.82us     778.48ns     6.23us      97.38ns    13.89us       216.97ns    14.10us     220.25ns       6.59us     103.02ns
PdDs            64      38.21us     597.05ns     7.16us     111.94ns    13.24us       206.95ns    16.45us     257.03ns       8.70us     135.89ns
PdDs            64      34.91us     545.39ns     7.31us     114.28ns    13.17us       205.84ns    16.53us     258.30ns       8.94us     139.64ns
PdDs            64      32.37us     505.80ns     6.91us     108.02ns    12.52us       195.67ns    14.95us     233.56ns       7.71us     120.53ns
PdDs            64      32.66us     510.33ns     6.36us      99.41ns    11.91us       186.13ns    14.86us     232.16ns       9.88us     154.34ns
PdDs            64      37.77us     590.16ns     9.07us     141.67ns    13.59us       212.27ns    16.48us     257.52ns       9.12us     142.45ns
PdDs            64      31.06us     485.28ns     5.08us      79.36ns    30.56us       477.45ns    21.88us     341.89ns       9.23us     144.17ns
PdDs            64      47.50us     742.16ns     7.36us     115.06ns    12.01us       187.69ns    13.57us     211.97ns       6.50us     101.59ns
PdDs            64      33.86us     529.11ns     7.27us     113.66ns    13.38us       208.98ns    14.57us     227.61ns       6.35us      99.25ns
PdDs            64      40.37us     630.70ns     7.17us     112.09ns    13.32us       208.20ns    17.27us     269.88ns       9.45us     147.61ns
PdDs           128      70.04us     547.20ns    12.71us      99.32ns    29.99us       234.27ns    35.61us     278.18ns      16.37us     127.89ns
PdDs           128      83.33us     650.98ns    10.42us      81.40ns    36.78us       287.34ns    75.46us     589.54ns      17.74us     138.62ns
PdDs           128      54.75us     427.75ns    10.03us      78.35ns    20.28us       158.41ns    24.27us     189.58ns      12.33us      96.35ns
PdDs           128      79.08us     617.79ns    13.99us     109.27ns    27.34us       213.60ns    32.90us     257.04ns      17.36us     135.65ns
PdDs           128      62.18us     485.75ns    13.34us     104.18ns    27.15us       212.12ns    29.76us     232.47ns      13.84us     108.09ns
PdDs           128     100.35us     784.00ns    10.51us      82.11ns    24.67us       192.70ns    32.97us     257.59ns      17.96us     140.34ns
PdDs           128      52.73us     411.95ns    10.14us      79.21ns    20.12us       157.16ns    29.82us     232.94ns      17.22us     134.55ns
PdDs           128      52.72us     411.87ns    10.11us      78.98ns    19.88us       155.29ns    22.87us     178.69ns      11.96us      93.46ns
PdDs           128      51.42us     401.69ns     9.96us      77.80ns    20.25us       158.18ns    23.15us     180.89ns      14.49us     113.18ns
PdDs           128      50.80us     396.84ns     9.99us      78.04ns    20.02us       156.38ns    22.87us     178.70ns      11.91us      93.06ns
PdDs           128      60.84us     475.34ns    13.59us     106.14ns    27.34us       213.60ns    32.51us     253.98ns      17.27us     134.95ns
PdDs           128      59.68us     466.26ns    13.39us     104.65ns    27.18us       212.35ns    31.71us     247.73ns      17.18us     134.23ns
PdDs           128      60.31us     471.19ns    13.54us     105.75ns    27.68us       216.26ns    32.20us     251.57ns      16.70us     130.48ns
PdDs           128      60.74us     474.56ns    13.56us     105.98ns    27.47us       214.62ns    31.97us     249.77ns      17.19us     134.31ns
PdDs           128      76.03us     594.00ns    11.21us      87.59ns    20.77us       162.26ns    23.45us     183.23ns      12.12us      94.71ns
PdDs           128      49.91us     389.95ns     9.99us      78.03ns    20.11us       157.09ns    22.75us     177.75ns      11.91us      93.07ns
PdDs           128      47.95us     374.61ns    10.04us      78.42ns    20.01us       156.31ns    22.57us     176.34ns      11.89us      92.91ns
PdDs           128      46.91us     366.46ns    10.06us      78.59ns    19.91us       155.52ns    22.60us     176.58ns      11.87us      92.76ns
PdDs           128      50.26us     392.69ns     9.94us      77.64ns    19.82us       154.82ns    22.68us     177.21ns      11.96us      93.45ns
PdDs           128     112.65us     880.10ns    14.47us     113.02ns    31.91us       249.30ns    87.47us     683.38ns      19.14us     149.50ns
PdDs           128      60.71us     474.32ns    13.64us     106.53ns    27.32us       213.45ns    32.17us     251.33ns      16.91us     132.12ns
PdDs           128      59.84us     467.52ns    13.81us     107.86ns    27.65us       216.02ns    32.36us     252.82ns      17.11us     133.69ns
PdDs           256     129.90us     507.43ns    37.60us     146.88ns    88.22us       344.63ns    49.28us     192.51ns      46.78us     182.72ns
PdDs           256     122.75us     479.49ns    36.97us     144.41ns    67.74us       264.60ns    41.34us     161.47ns      48.97us     191.30ns
PdDs           256     115.47us     451.04ns    36.20us     141.40ns    67.38us       263.19ns    42.04us     164.21ns      49.12us     191.88ns
PdDs           256     131.81us     514.87ns    66.31us     259.04ns    94.56us       369.36ns    45.23us     176.70ns      66.44us     259.55ns
PdDs           256     141.29us     551.93ns    35.99us     140.57ns    60.83us       237.63ns    29.68us     115.92ns      36.82us     143.82ns
PdDs           256     116.43us     454.79ns    27.80us     108.60ns    67.60us       264.05ns    29.50us     115.25ns      36.02us     140.69ns
PdDs           256      90.51us     353.55ns    26.81us     104.73ns    49.75us       194.35ns    28.89us     112.87ns      35.28us     137.80ns
PdDs           256      91.12us     355.94ns    27.89us     108.95ns    60.92us       237.98ns    28.96us     113.14ns      35.42us     138.34ns
PdDs           256     131.61us     514.09ns    33.76us     131.89ns    64.59us       252.31ns    28.71us     112.16ns      39.85us     155.68ns
PdDs           256     101.30us     395.70ns    27.11us     105.90ns   102.64us       400.94ns    28.94us     113.06ns      44.63us     174.35ns
PdDs           256     110.04us     429.83ns   116.96us     456.88ns    56.23us       219.63ns   103.10us     402.74ns      37.36us     145.94ns
PdDs           256      86.65us     338.48ns    36.00us     140.61ns    87.09us       340.20ns    38.63us     150.91ns      36.00us     140.61ns
PdDs           256     133.81us     522.69ns    46.99us     183.55ns    67.00us       261.70ns   113.14us     441.97ns      45.98us     179.63ns
PdDs           256     127.53us     498.16ns    29.25us     114.24ns    76.37us       298.33ns    30.30us     118.35ns      54.45us     212.70ns
PdDs           256     117.36us     458.44ns    45.16us     176.42ns    51.10us       199.63ns    37.81us     147.70ns      45.59us     178.07ns
PdDs           256     122.29us     477.69ns    69.41us     271.13ns    86.94us       339.62ns    41.32us     161.39ns      69.13us     270.04ns
PdDs           256     137.06us     535.38ns    36.76us     143.59ns    86.12us       336.41ns    42.78us     167.11ns      67.77us     264.71ns
PdDs           256     142.82us     557.88ns    27.44us     107.19ns    54.23us       211.84ns    46.53us     181.75ns      36.67us     143.23ns
PdDs           256     110.52us     431.70ns    26.93us     105.20ns    67.11us       262.13ns    28.94us     113.06ns      35.67us     139.32ns
PdDs           256     109.38us     427.28ns    26.98us     105.39ns    66.22us       258.68ns    67.11us     262.13ns      70.90us     276.96ns
PdDs           256     108.49us     423.80ns    29.23us     114.20ns    60.97us       238.18ns    37.26us     145.54ns      35.85us     140.03ns
PdDs           256      89.20us     348.43ns    26.36us     102.96ns    48.50us       189.46ns    28.24us     110.32ns      34.80us     135.92ns
PdDs           516     264.08us     511.78ns    58.21us     112.81ns   140.26us       271.82ns   136.04us     263.65ns      71.68us     138.92ns
PdDs           516     261.41us     506.60ns    57.77us     111.95ns   142.38us       275.93ns    93.75us     181.68ns      47.91us      92.85ns
PdDs           516     190.60us     369.37ns    39.98us      77.47ns    97.90us       189.73ns    92.36us     179.00ns      47.21us      91.49ns
PdDs           516     245.07us     474.93ns    55.79us     108.13ns   139.17us       269.71ns   128.06us     248.18ns      68.68us     133.10ns
PdDs           516     252.95us     490.22ns    55.52us     107.60ns   161.90us       313.77ns    92.71us     179.68ns      47.27us      91.60ns
PdDs           516     184.16us     356.91ns    39.91us      77.35ns    97.65us       189.25ns    90.81us     175.99ns      46.93us      90.94ns
PdDs           516     183.47us     355.57ns    56.23us     108.96ns    99.74us       193.29ns    87.91us     170.38ns      47.03us      91.14ns
PdDs           516     199.87us     387.35ns    39.46us      76.48ns    95.51us       185.09ns    89.89us     174.20ns      62.14us     120.42ns
PdDs           516     260.45us     504.74ns    49.29us      95.53ns   138.95us       269.28ns    98.92us     191.70ns      47.24us      91.55ns
PdDs           516     206.25us     399.70ns    40.92us      79.30ns   101.24us       196.20ns   111.78us     216.63ns      47.48us      92.01ns
PdDs           516     176.76us     342.56ns    39.58us      76.71ns    95.66us       185.38ns    90.81us     175.99ns      46.65us      90.40ns
PdDs           516     176.75us     342.54ns    39.37us      76.30ns   122.50us       237.40ns    91.02us     176.40ns      46.61us      90.32ns
PdDs           516     207.47us     402.07ns    56.52us     109.53ns   110.50us       214.14ns    90.30us     175.00ns      46.86us      90.81ns
PdDs           516     202.42us     392.28ns    55.46us     107.49ns   128.32us       248.68ns   121.20us     234.88ns      66.54us     128.96ns
PdDs           516     235.28us     455.97ns    55.38us     107.33ns   129.45us       250.88ns   136.49us     264.51ns     103.03us     199.67ns
PdDs           516     250.63us     485.71ns    55.35us     107.27ns   133.38us       258.49ns   129.40us     250.78ns      68.16us     132.09ns
PdDs           516     236.90us     459.10ns    40.01us      77.55ns    97.31us       188.59ns   110.39us     213.93ns      69.42us     134.53ns
PdDs           516     250.05us     484.59ns    55.06us     106.71ns   209.25us       405.53ns   117.03us     226.80ns      89.34us     173.13ns
PdDs           516     215.95us     418.52ns    40.31us      78.13ns    98.29us       190.49ns    94.41us     182.96ns      79.84us     154.73ns
PdDs           516     216.01us     418.63ns    39.85us      77.24ns    98.55us       191.00ns    93.78us     181.73ns      47.82us      92.67ns
PdDs           516     181.49us     351.72ns    39.83us      77.18ns   114.94us       222.76ns    92.82us     179.89ns      47.08us      91.24ns
PdDs           516     178.14us     345.24ns    39.47us      76.50ns    95.73us       185.52ns    91.29us     176.92ns      46.81us      90.71ns
PdDs          1024     411.28us     401.64ns   125.63us     122.68ns   155.62us       151.97ns   198.84us     194.18ns     100.16us      97.81ns
PdDs          1024     366.81us     358.21ns   124.37us     121.46ns   152.55us       148.98ns   205.33us     200.52ns      98.43us      96.13ns
PdDs          1024     384.79us     375.77ns   125.50us     122.56ns   153.15us       149.56ns   176.92us     172.77ns      93.23us      91.05ns
PdDs          1024     361.45us     352.98ns   123.55us     120.66ns   151.49us       147.94ns   173.13us     169.08ns      92.41us      90.25ns
PdDs          1024     406.38us     396.86ns   163.66us     159.83ns   206.96us       202.11ns   237.89us     232.32ns     133.93us     130.79ns
PdDs          1024     325.65us     318.02ns   123.26us     120.37ns   152.27us       148.71ns   172.23us     168.20ns      92.95us      90.77ns
PdDs          1024     319.00us     311.53ns   122.82us     119.94ns   151.18us       147.64ns   173.76us     169.69ns      92.24us      90.08ns
PdDs          1024     363.46us     354.95ns   122.44us     119.57ns   150.97us       147.43ns   172.69us     168.64ns      92.10us      89.94ns
PdDs          1024     500.68us     488.95ns   167.75us     163.82ns   209.37us       204.46ns   259.80us     253.71ns      95.12us      92.89ns
PdDs          1024     317.73us     310.29ns   123.73us     120.83ns   152.40us       148.83ns   333.05us     325.24ns     138.84us     135.58ns
PdDs          1024     372.93us     364.19ns   123.72us     120.82ns   243.59us       237.88ns   247.25us     241.46ns     136.13us     132.94ns
PdDs          1024     491.36us     479.84ns   173.79us     169.72ns   215.26us       210.22ns   250.46us     244.59ns     136.13us     132.94ns
PdDs          1024     440.57us     430.25ns   196.01us     191.41ns   257.37us       251.34ns   356.18us     347.83ns     180.60us     176.36ns
PdDs          1024     550.52us     537.62ns   192.99us     188.47ns   243.12us       237.43ns   297.54us     290.56ns     206.53us     201.68ns
PdDs          1024     546.05us     533.25ns   269.62us     263.30ns   244.30us       238.57ns   302.23us     295.15ns     157.82us     154.13ns
PdDs          1024     556.90us     543.85ns   202.92us     198.16ns   240.12us       234.49ns   307.08us     299.89ns     159.84us     156.09ns
PdDs          1024     395.06us     385.80ns   126.70us     123.73ns   154.13us       150.52ns   177.17us     173.02ns     142.90us     139.55ns
PdDs          1024     430.38us     420.30ns   125.46us     122.52ns   236.93us       231.38ns   354.01us     345.72ns     163.46us     159.63ns
PdDs          1024     478.04us     466.84ns   123.74us     120.84ns   153.46us       149.86ns   202.11us     197.37ns      94.19us      91.99ns
PdDs          1024     360.00us     351.56ns   124.42us     121.51ns   151.75us       148.20ns   218.01us     212.90ns      96.79us      94.52ns
PdDs          1024     351.12us     342.89ns   124.86us     121.94ns   179.02us       174.83ns   177.87us     173.70ns      93.82us      91.62ns
PdDs          1024     367.75us     359.13ns   124.24us     121.33ns   185.33us       180.98ns   178.96us     174.76ns      93.61us      91.42ns
PdDs          2048     720.90us     352.00ns   295.32us     144.20ns   363.05us       177.27ns   265.84us     129.80ns     234.48us     114.49ns
PdDs          2048     778.68us     380.22ns   288.94us     141.08ns   364.23us       177.85ns   230.79us     112.69ns     249.67us     121.91ns
PdDs          2048     760.48us     371.33ns   337.31us     164.70ns   472.33us       230.63ns   254.43us     124.23ns     264.67us     129.24ns
PdDs          2048     947.01us     462.41ns   407.45us     198.95ns   430.94us       210.42ns   355.71us     173.69ns     326.52us     159.43ns
PdDs          2048     787.46us     384.50ns   280.81us     137.12ns   317.54us       155.05ns   274.13us     133.85ns     230.08us     112.34ns
PdDs          2048     682.50us     333.25ns   279.71us     136.58ns   315.24us       153.93ns   270.99us     132.32ns     240.85us     117.60ns
PdDs          2048     782.85us     382.25ns   280.41us     136.92ns   315.16us       153.89ns   232.49us     113.52ns     384.75us     187.87ns
PdDs          2048     798.90us     390.09ns   392.27us     191.54ns   448.54us       219.01ns   232.04us     113.30ns     228.75us     111.69ns
PdDs          2048     917.27us     447.89ns   462.63us     225.90ns   399.37us       195.00ns   290.71us     141.95ns     343.96us     167.95ns
PdDs          2048       1.20ms     586.52ns   511.46us     249.74ns   593.33us       289.71ns   282.10us     137.74ns     363.61us     177.54ns
PdDs          2048     689.17us     336.51ns   285.40us     139.36ns   451.04us       220.24ns   275.84us     134.69ns     231.93us     113.25ns
PdDs          2048     665.60us     325.00ns   282.18us     137.78ns   316.29us       154.44ns   233.22us     113.88ns     265.77us     129.77ns
PdDs          2048     636.81us     310.94ns   399.04us     194.84ns   432.95us       211.40ns   362.59us     177.04ns     325.21us     158.79ns
PdDs          2048     877.55us     428.49ns   384.42us     187.70ns   455.20us       222.27ns   333.89us     163.03ns     322.43us     157.44ns
PdDs          2048     848.37us     414.24ns   360.64us     176.10ns   317.06us       154.82ns   232.99us     113.76ns     263.75us     128.79ns
PdDs          2048     642.00us     313.48ns   322.18us     157.32ns   316.03us       154.31ns   233.49us     114.01ns     226.87us     110.78ns
PdDs          2048     877.88us     428.65ns   369.55us     180.44ns   317.19us       154.88ns   322.17us     157.31ns     301.76us     147.34ns
PdDs          2048     814.04us     397.48ns   283.98us     138.66ns   332.54us       162.37ns   233.09us     113.81ns     262.62us     128.23ns
PdDs          2048     663.06us     323.76ns   324.65us     158.52ns   315.33us       153.97ns   251.55us     122.83ns     278.00us     135.74ns
PdDs          2048     638.22us     311.63ns   310.31us     151.52ns   316.33us       154.46ns   233.80us     114.16ns     227.17us     110.92ns
PdDs          2048     889.91us     434.52ns   376.03us     183.61ns   341.90us       166.94ns   234.54us     114.52ns     272.67us     133.14ns
PdDs          2048     659.69us     322.11ns   353.76us     172.73ns   519.01us       253.42ns   415.01us     202.64ns     339.18us     165.62ns
PdDs          4096       1.81ms     442.12ns   449.14us     109.65ns     1.20ms       293.85ns     1.02ms     249.01ns     461.85us     112.76ns
PdDs          4096       2.08ms     506.77ns   548.22us     133.84ns     1.02ms       248.55ns   919.50us     224.49ns     380.51us      92.90ns
PdDs          4096       1.46ms     355.43ns   377.10us      92.07ns   780.33us       190.51ns   765.74us     186.95ns     381.39us      93.11ns
PdDs          4096       1.43ms     348.95ns   380.19us      92.82ns   762.10us       186.06ns   779.74us     190.37ns     378.19us      92.33ns
PdDs          4096       1.38ms     336.29ns   414.42us     101.18ns   821.75us       200.62ns   711.19us     173.63ns     410.01us     100.10ns
PdDs          4096       1.41ms     344.86ns   435.57us     106.34ns   879.46us       214.71ns   767.14us     187.29ns     411.99us     100.58ns
PdDs          4096       1.45ms     352.85ns   436.52us     106.57ns   784.22us       191.46ns   717.13us     175.08ns     444.40us     108.50ns
PdDs          4096       1.52ms     370.30ns   419.32us     102.37ns   835.72us       204.03ns   891.13us     217.56ns     451.60us     110.25ns
PdDs          4096       1.72ms     420.38ns   437.39us     106.78ns   924.56us       225.72ns   847.39us     206.88ns     395.30us      96.51ns
PdDs          4096       1.68ms     411.17ns   448.92us     109.60ns   823.85us       201.13ns   727.09us     177.51ns     454.50us     110.96ns
PdDs          4096       1.45ms     354.32ns   548.85us     134.00ns   922.33us       225.18ns   741.06us     180.92ns     376.12us      91.83ns
PdDs          4096       1.45ms     355.02ns   392.60us      95.85ns   780.90us       190.65ns   714.25us     174.38ns     477.81us     116.65ns
PdDs          4096       1.53ms     372.92ns   381.01us      93.02ns   768.09us       187.52ns   718.58us     175.44ns     408.47us      99.72ns
PdDs          4096       1.60ms     390.63ns   386.98us      94.48ns   802.22us       195.85ns   739.26us     180.48ns     378.07us      92.30ns
PdDs          4096       1.38ms     336.65ns   568.80us     138.87ns     1.02ms       249.63ns   991.54us     242.07ns     379.63us      92.68ns
PdDs          4096       1.66ms     404.85ns   547.20us     133.59ns     1.12ms       273.00ns     1.01ms     246.99ns     450.21us     109.91ns
PdDs          4096       2.22ms     542.86ns   526.02us     128.42ns   832.24us       203.18ns   768.60us     187.65ns     379.57us      92.67ns
PdDs          4096       1.59ms     388.03ns   555.46us     135.61ns     1.00ms       244.25ns   936.21us     228.57ns     380.75us      92.96ns
PdDs          4096       1.46ms     355.36ns   401.36us      97.99ns   855.76us       208.93ns   940.36us     229.58ns     377.77us      92.23ns
PdDs          4096       1.49ms     363.32ns   379.00us      92.53ns   767.75us       187.44ns   757.06us     184.83ns     384.14us      93.78ns
PdDs          4096       1.45ms     354.80ns   526.96us     128.65ns   870.09us       212.42ns   955.90us     233.38ns     379.09us      92.55ns
PdDs          4096       1.66ms     405.14ns   378.40us      92.38ns   827.10us       201.93ns   843.36us     205.90ns     477.48us     116.57ns
PdDs          8192       3.53ms     430.34ns   906.13us     110.61ns     1.91ms       232.87ns     2.08ms     253.41ns     893.88us     109.12ns
PdDs          8192       3.16ms     385.54ns   743.68us      90.78ns     1.62ms       197.86ns     1.92ms     233.92ns     815.68us      99.57ns
